"","country","neighbor1","neighbor2","neighbor3","neighbor4","neighbor5","neighbor6","neighbor7","neighbor8","neighbor9","neighbor10","neighbor11","neighbor12","neighbor13","neighbor14","boundaries.data.ISO_N3","boundaries.data.WB_A3"
"1","Afghanistan","China","Iran","Pakistan","Tajikistan","Turkmenistan","Uzbekistan","NA","NA","NA","NA","NA","NA","NA","NA","004","AFG"
"2","Angola","Democratic Republic of the Congo","Republic of Congo","Zambia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","024","AGO"
"3","Albania","Greece","Kosovo","Macedonia","Montenegro","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","008","ALB"
"4","Andorra","Spain","France","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","020","ADO"
"5","United Arab Emirates","Oman","Saudi Arabia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","784","ARE"
"6","Argentina","Bolivia","Brazil","Chile","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","032","ARG"
"7","Armenia","Azerbaijan","Georgia","Iran","Turkey","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","051","ARM"
"8","Antarctica","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","010","-99"
"9","Antigua and Barbuda","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","028","ATG"
"10","Australia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-99","-99"
"11","Austria","Switzerland","Czech Republic","Germany","Hungary","Italy","Liechtenstein","Slovakia","Slovenia","NA","NA","NA","NA","NA","NA","040","AUT"
"12","Azerbaijan","Armenia","Georgia","Iran","Russia","Turkey","NA","NA","NA","NA","NA","NA","NA","NA","NA","031","AZE"
"13","Burundi","Democratic Republic of the Congo","Rwanda","United Republic of Tanzania","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","108","BDI"
"14","Belgium","Germany","France","Luxembourg","Netherlands","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","056","BEL"
"15","Benin","Burkina Faso","Niger","Nigeria","Togo","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","204","BEN"
"16","Burkina Faso","Benin","Ivory Coast","Ghana","Mali","Niger","Togo","NA","NA","NA","NA","NA","NA","NA","NA","854","BFA"
"17","Bangladesh","India","Myanmar","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","050","BGD"
"18","Bulgaria","Greece","Macedonia","Romania","Republic of Serbia","Turkey","NA","NA","NA","NA","NA","NA","NA","NA","NA","100","BGR"
"19","Bahrain","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","048","BHR"
"20","The Bahamas","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","044","BHS"
"21","Bosnia and Herzegovina","Croatia","Montenegro","Republic of Serbia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","070","BIH"
"22","Bajo Nuevo Bank (Petrel Is.)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-99","-99"
"23","Belarus","Latvia","Poland","Russia","Ukraine","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","112","BLR"
"24","Belize","Guatemala","Mexico","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","084","BLZ"
"25","Bolivia","Argentina","Chile","Peru","Paraguay","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","068","BOL"
"26","Brazil","Argentina","Colombia","France","Guyana","Peru","Suriname","Uruguay","Venezuela","NA","NA","NA","NA","NA","NA","076","BRA"
